code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
603258,N电魂,互联网,浙江,20.47,6000.0,24000.0,86315.21,62596.67,1155.14,1465.79,0.06,0.824,3.41,6.6,20161026
000972,中基健康,食品,新疆,0.0,77128.35,77128.35,229892.13,100308.03,92390.21,107309.3,1.39,-0.071,1.34,4.98,20000926
002386,天原集团,化工原料,四川,0.0,67155.25,67167.97,1319377.25,311524.66,620589.0,185366.23,2.76,-0.097,5.88,1.53,20100409
603859,能科股份,软件服务,北京,131.24,2839.0,11356.0,53507.08,45221.7,3890.11,12962.05,1.14,0.055,5.05,2.86,20161021
600275,武昌鱼,农业综合,湖北,0.0,50883.71,50883.71,34738.87,2932.36,4366.5,13208.38,0.26,-0.03,0.33,55.74,20000810
000573,粤宏远Ａ,区域地产,广东,158.46,62217.32,62275.55,323009.53,240308.59,6397.06,55476.16,0.89,0.029,2.44,3.73,19940815
603667,五洲新春,机械基件,浙江,31.41,5060.0,20240.0,141303.77,76346.06,43759.8,21430.35,1.06,0.333,4.71,2.96,20161025
002264,新 华 都,超市连锁,福建,78.69,53782.64,68456.39,393040.97,146351.8,36762.76,117877.52,1.72,0.071,2.52,4.44,20080731
600250,南纺股份,商贸代理,江苏,0.0,25869.25,25869.25,169498.38,81007.05,7846.11,18438.67,0.71,-0.06,1.2,14.23,20010306
300551,古鳌科技,专用机械,上海,80.06,1836.0,7336.0,44158.78,37981.0,4911.12,4448.41,0.61,0.199,5.22,6.1,20161018
601020,华钰矿业,铅锌,西藏,190.66,5200.0,52567.66,228832.45,40318.32,68089.55,29142.08,0.55,0.1,2.69,12.99,20160316
600759,洲际油气,石油开采,海南,594.74,158082.94,226350.75,1470833.25,318200.53,3983.11,244588.95,1.08,0.007,2.28,3.86,19961008
002538,司尔特,农药化肥,安徽,36.44,69966.28,71812.03,465169.59,262231.56,85747.32,137425.69,1.91,0.18,4.27,2.99,20110118
000980,金马股份,汽车配件,安徽,90.15,52814.0,52814.0,356202.88,286677.84,47028.05,126699.97,2.4,0.071,3.99,3.2,20000616
603090,宏盛股份,专用机械,江苏,173.12,2500.0,10000.0,49762.62,38124.5,4361.65,22067.4,2.21,0.37,4.41,15.19,20160831
603887,城地股份,建筑施工,上海,67.42,2460.0,9810.0,74930.96,65451.88,6307.37,9337.95,0.95,0.407,5.32,10.31,20161010
002817,黄山胶囊,化学制药,安徽,32.92,2167.0,8667.0,43119.96,17945.15,19053.17,5356.1,0.62,0.501,5.48,4.01,20161025
300546,雄帝科技,元器件,深圳,170.23,1334.0,5334.0,39213.55,35001.8,936.15,1031.18,0.19,0.361,7.46,16.49,20160928
002813,路畅科技,汽车配件,深圳,57.69,3000.0,12000.0,102589.59,54921.82,37151.01,6765.47,0.56,0.223,5.36,4.8,20161012
002729,好利来,元器件,福建,307.96,1768.0,6668.0,42416.4,16137.8,19255.42,17834.05,2.67,0.226,5.95,15.58,20140912
600716,凤凰股份,区域地产,江苏,687.24,74060.06,93606.06,1006749.88,923223.38,1400.46,147961.44,1.58,0.006,3.7,2.35,19960702
000923,河北宣工,工程机械,河北,0.0,19800.0,19800.0,137658.19,75645.7,42279.73,16355.75,0.83,-0.046,2.07,8.4,19990714
300549,优德精密,专用机械,江苏,125.43,1667.0,6667.0,37171.9,25088.67,9150.82,3910.71,0.59,0.298,3.73,20.03,20160930
300548,博创科技,元器件,浙江,56.7,2067.0,8267.0,38216.0,27947.9,7078.8,4602.24,0.56,0.387,5.15,8.52,20161012
300545,联得装备,专用机械,深圳,191.06,1783.0,7130.58,55374.18,51998.12,1448.91,22213.5,3.12,0.42,6.31,12.87,20160928
300488,恒锋工具,机械基件,浙江,84.54,1251.0,6251.0,65282.21,37994.98,20979.67,20425.17,3.27,0.568,9.92,9.67,20150701
300555,路通视信,通信设备,江苏,63.79,2000.0,8000.0,49315.65,41005.3,590.85,2844.84,0.36,0.308,4.87,8.07,20161018
603160,汇顶科技,元器件,深圳,39.87,4500.0,44500.0,179051.56,150466.84,14467.15,3422.9,0.08,0.683,3.44,15.84,20161017
600158,中体产业,文教休闲,天津,1083.45,65749.53,84373.53,380205.28,344824.91,10666.78,2380.65,0.03,0.008,1.82,10.03,19980327
603777,来伊份,其他商业,上海,97.87,6000.0,24000.0,246923.05,161823.56,51366.69,98918.18,4.12,0.334,10.1,4.31,20161012
300550,和仁科技,软件服务,浙江,71.59,2000.0,8000.0,39601.05,25072.25,440.98,3297.9,0.41,0.223,3.87,8.26,20161018
300553,集智股份,电器仪表,浙江,40.98,1200.0,4800.0,19416.78,13806.1,612.56,4179.06,0.87,0.494,4.82,5.6,20161021
300552,万集科技,软件服务,北京,33.55,2670.0,10670.0,81115.38,69147.86,9731.45,9206.57,0.86,0.525,5.65,4.16,20161021
600862,中航高科,航空,江苏,476.81,63792.85,139304.91,825830.94,584531.13,105106.72,144466.98,1.04,0.015,2.4,5.87,19940520
002816,和科达,机械基件,深圳,50.62,2500.0,10000.0,48635.26,41085.73,4386.7,5612.68,0.56,0.195,4.37,3.0,20161025
300206,理邦仪器,医疗保健,深圳,145.9,34034.12,58500.0,142476.59,83170.15,17726.6,39166.53,0.67,0.039,1.98,5.69,20110421
600868,梅雁吉祥,水力发电,广东,162.59,189814.88,189814.88,255735.63,21759.21,173935.23,41900.35,0.22,0.021,1.16,5.83,19940912
300382,斯莱克,专用机械,江苏,73.88,3963.55,12509.0,92384.75,61294.9,13262.63,17569.06,1.4,0.343,5.35,9.46,20140129
002133,广宇集团,全国地产,浙江,22.67,60150.46,77414.4,788570.31,726564.88,1779.75,82897.13,1.07,0.198,3.64,2.47,20070427
300539,横河模具,塑料,浙江,192.65,2375.0,9500.0,44983.76,19605.61,17689.39,3941.85,0.41,0.15,3.1,18.72,20160830
002678,珠江钢琴,文教休闲,广东,86.48,95362.59,95600.0,282674.47,160915.75,66519.15,31810.0,0.33,0.086,2.03,7.38,20120530
600310,桂东电力,水力发电,广西,48.64,82777.5,82777.5,1098213.63,372501.41,289991.28,27668.49,0.33,0.136,3.21,4.13,20010228
600559,老白干酒,白酒,河北,229.47,35000.0,43806.01,244746.77,170291.06,58326.55,68505.5,1.56,0.056,3.46,7.46,20021029
300018,中元股份,电气设备,湖北,116.91,29942.38,48083.14,149965.63,84305.35,7070.56,59894.0,1.25,0.065,2.8,5.44,20091030
000799,酒鬼酒,白酒,湖南,91.99,22420.16,32492.9,228284.63,146430.77,51735.85,116125.95,3.57,0.119,5.53,3.97,19970718
002482,广田集团,装修装饰,深圳,49.97,130959.0,155121.95,1297235.38,1131236.25,42031.68,235858.8,1.52,0.105,3.79,2.78,20100929
300525,博思软件,软件服务,福建,772.05,1710.0,6813.89,26181.35,11728.91,12041.23,4107.85,0.6,0.07,4.54,23.93,20160726
002016,世荣兆业,区域地产,广东,34.74,64609.55,80909.56,655978.31,592448.38,13178.3,5156.31,0.06,0.165,2.26,5.08,20040708
603031,安德利,百货,安徽,133.19,2000.0,8000.0,123785.65,43645.87,52779.01,5957.56,0.74,0.272,5.93,12.24,20160822
300173,智慧松德,轻工机械,广东,113.71,31274.72,58618.05,213722.59,112586.02,14262.07,81742.11,1.39,0.08,2.76,6.6,20110201
002606,大连电瓷,电气设备,辽宁,90.56,14195.55,20400.0,136197.91,79269.82,42713.5,32834.26,1.61,0.215,3.87,10.08,20110805
002082,栋梁新材,铝,浙江,84.76,20542.6,23800.0,160747.86,110915.75,42485.71,24181.27,1.02,0.161,5.68,4.81,20061120
600887,伊利股份,乳制品,内蒙,17.53,603336.94,606480.0,3465379.25,1689537.63,1289153.88,248157.55,0.41,0.53,3.36,5.52,19960312
002072,凯瑞德,纺织,山东,104.71,17600.0,17600.0,78562.0,55506.08,150.58,19168.22,1.09,0.186,0.65,39.97,20061018
002339,积成电子,电气设备,山东,207.71,29605.73,37889.6,264993.53,186318.92,25128.13,45904.28,1.21,0.053,3.88,5.67,20100122
603919,金徽酒,白酒,甘肃,42.75,7000.0,28000.0,209806.47,82947.03,97873.32,73797.81,2.64,0.47,5.48,6.38,20160310
002209,达 意 隆,轻工机械,广东,0.0,15897.04,19524.4,162717.61,108741.47,42629.9,22514.35,1.15,-0.134,3.25,7.43,20080130
300503,昊志机电,机械基件,广东,151.23,2500.0,10000.0,76853.5,56171.78,13659.47,26535.01,2.65,0.32,6.5,13.15,20160309
600051,宁波联合,综合类,浙江,28.66,30579.19,31088.0,811162.5,596626.38,74004.15,14564.55,0.47,0.32,6.3,1.9,19970410
002537,海立美达,汽车整车,山东,127.1,30000.0,49567.51,285380.41,143445.27,65005.66,77727.81,1.57,0.113,5.09,5.66,20110110
600149,廊坊发展,综合类,河北,0.0,38016.0,38016.0,37057.28,19598.24,3272.62,10597.37,0.28,-0.038,0.51,58.05,19991014
600747,大连控股,多元金融,辽宁,0.0,106432.84,146432.84,254438.13,226378.55,8035.27,99619.9,0.68,-0.026,1.37,3.87,19960916
600322,天房发展,区域地产,天津,0.0,110570.0,110570.0,2724419.5,2565133.5,11202.37,220524.2,1.99,-0.079,4.03,1.62,20010910
600809,山西汾酒,白酒,山西,28.22,86584.82,86584.82,707547.69,462247.31,148326.98,24080.68,0.28,0.415,5.21,4.49,19940106
002162,悦心健康,医疗保健,上海,0.0,81510.0,85215.0,213336.05,71660.0,61053.73,5826.2,0.07,-0.004,0.96,7.7,20070823
600313,农发种业,种植业,北京,406.46,91821.81,108219.86,398075.34,233231.52,71961.17,47319.3,0.44,0.007,1.59,3.79,20010119
002507,涪陵榨菜,食品,重庆,32.99,29743.0,52623.82,173166.88,77999.15,72792.9,28441.0,0.54,0.22,2.71,5.37,20101123
002515,金字火腿,食品,浙江,430.29,36172.03,61144.57,143319.88,60895.43,37637.46,54244.55,0.89,0.034,2.21,8.88,20101203
000615,京汉股份,化纤,湖北,0.0,35400.28,78025.04,899261.19,797597.88,46247.76,2147.79,0.03,-0.125,1.93,5.66,19961016
300332,天壕环境,环境保护,北京,67.01,63334.46,77437.9,505979.69,76938.67,150401.55,103287.7,1.33,0.076,2.96,3.45,20120628
000688,建新矿业,铅锌,重庆,89.97,113721.43,113729.92,184087.92,49520.28,68880.93,18883.17,0.17,0.054,1.37,7.07,19970120
300298,三诺生物,医疗保健,湖南,67.91,25065.89,33835.53,131157.36,73989.34,23638.57,41472.06,1.23,0.17,3.52,5.97,20120319
002810,山东赫达,化工原料,山东,115.25,2398.0,9556.0,79317.9,32045.56,35950.1,709.4,0.07,0.254,5.84,10.01,20160826
000617,*ST济柴,机械基件,山东,0.0,28753.91,28753.91,197647.42,130932.15,52693.3,4238.68,0.15,-0.545,1.29,13.8,19961022
002458,益生股份,农业综合,山东,21.27,15882.5,33351.6,189561.7,42563.89,86257.46,98091.71,2.94,1.54,4.24,10.12,20100810
600182,S佳通,汽车配件,黑龙江,63.62,17000.0,34000.0,228123.72,117510.06,101853.0,119.85,0.0,0.218,2.58,10.78,19990507
002283,天润曲轴,汽车配件,山东,64.32,111995.02,111995.02,491145.81,167525.97,230546.27,130906.72,1.17,0.111,3.1,3.07,20090821
600865,百大集团,百货,浙江,42.07,37624.03,37624.03,172720.38,59287.11,15617.85,23346.42,0.62,0.159,3.97,3.37,19940809
000995,*ST皇台,白酒,甘肃,0.0,17740.53,17740.8,53115.88,33344.39,8854.36,25793.53,1.45,-0.106,0.62,26.54,20000807
300247,乐金健康,医疗保健,安徽,251.38,43032.58,72219.03,189490.05,66481.21,28557.22,68152.84,0.94,0.021,2.04,5.22,20110729
002299,圣农发展,农业综合,福建,43.36,90025.59,111090.0,1095797.38,228600.63,762221.75,395571.63,3.56,0.453,5.16,5.07,20091021
600797,浙大网新,软件服务,浙江,235.36,82171.2,91404.32,414312.28,264817.75,9359.13,41191.43,0.45,0.038,2.26,7.97,19970418
002266,浙富控股,电气设备,浙江,186.3,148041.59,197871.98,561009.88,222367.67,56419.91,12953.12,0.07,0.018,1.48,4.59,20080806
300420,五洋科技,机械基件,江苏,99.25,8778.13,24261.55,147101.05,86919.0,17236.27,84027.47,3.46,0.132,4.47,5.87,20150217
600555,海航创新,旅游景点,海南,0.0,97350.0,130350.0,371274.13,185411.27,8779.78,40388.62,0.31,-0.014,1.33,5.5,20010328
600117,西宁特钢,特种钢,青海,0.0,74121.92,74121.92,2506517.5,542907.94,976237.81,39989.48,0.54,-0.486,0.96,6.0,19971015
000962,*ST东钽,小金属,宁夏,0.0,44083.1,44083.26,300522.47,135919.47,133717.23,119767.26,2.72,-0.313,2.99,3.8,20000120
600300,维维股份,软饮料,江苏,67.29,167200.0,167200.0,868990.38,490278.06,215224.55,25458.76,0.15,0.048,1.63,3.99,20000630
300231,银信科技,软件服务,北京,63.5,26176.24,34250.94,106695.61,91341.6,8576.0,12714.35,0.37,0.168,1.52,14.05,20110615
300093,金刚玻璃,玻璃,广东,3989.85,21523.46,21600.0,127461.67,71956.56,47076.56,38683.3,1.79,0.003,4.04,5.91,20100708
002758,华通医药,医药商业,浙江,121.96,7941.79,14000.0,92410.4,66724.77,9468.07,20910.95,1.49,0.146,3.81,9.31,20150527
600226,升华拜克,农药化肥,浙江,39.15,109498.29,109498.29,320922.84,167279.19,65691.5,6144.71,0.06,0.136,1.42,7.5,19991116
002536,西泵股份,汽车配件,河南,50.15,30403.47,33380.78,275852.84,134604.86,114770.42,109458.61,3.28,0.235,5.43,2.9,20110111
002511,中顺洁柔,造纸,广东,50.52,48358.89,50552.39,450131.66,202447.59,221416.2,135924.86,2.69,0.22,5.02,4.21,20101125
600739,辽宁成大,商贸代理,辽宁,27.26,136470.98,152970.98,3179937.75,464183.91,345638.91,625550.31,4.09,0.544,11.91,1.66,19960819
300348,长亮科技,软件服务,深圳,715.49,14168.3,29224.0,106357.27,47411.26,6381.18,30835.15,1.06,0.021,2.4,12.5,20120817
600609,金杯汽车,汽车整车,辽宁,0.0,109266.71,109266.71,1029500.88,785732.19,86392.5,110021.02,1.01,-0.04,0.21,32.41,19920724
603223,恒通股份,公路,山东,91.14,7900.0,12000.0,92047.27,33855.69,37529.18,28106.4,2.34,0.234,5.03,8.49,20150630
600093,禾嘉股份,汽车配件,四川,33.27,32244.75,112244.75,1018028.81,979781.38,31943.05,403888.31,3.6,0.228,5.22,2.91,19970626
002432,九安医疗,医疗保健,天津,0.0,37200.0,43280.58,165011.56,131062.67,19886.01,115957.97,2.68,-0.12,3.41,5.58,20100610
603766,隆鑫通用,摩托车,重庆,21.16,81151.07,84460.64,872964.63,440109.5,205056.86,117108.72,1.39,0.506,6.63,3.23,20120810
603555,贵人鸟,服饰,福建,73.8,11388.5,61400.0,605032.88,344100.81,57592.33,83873.81,1.37,0.29,3.73,7.66,20140124
600649,城投控股,区域地产,上海,18.13,298752.34,298752.34,4260300.5,2236921.25,26113.15,406528.25,1.36,0.498,7.06,2.56,19930518
002738,中矿资源,建筑施工,北京,149.82,8935.5,18691.5,80906.53,51404.98,20068.09,24719.95,1.32,0.089,3.13,8.56,20141230
300132,青松股份,化工原料,福建,162.76,27550.32,38592.0,68714.47,30310.94,23981.07,8241.61,0.21,0.035,1.59,7.12,20101026
